timestamp_h,day_of_year,hour_of_day,day_of_week,solar_irradiance_wm2,wind_speed_ms,ambient_temp_c,humidity_pct,pv_output_kw,wind_output_kw,load_demand_kw,grid_tariff_inr_per_kwh,net_demand_kw,pv_ramp_kw,load_ramp_kw
0,0,0,0,0.0,6.2,5.29,79.47,0.0,13.448,160.45,3.75,147.002,0.0,0.0
1,0,1,0,0.0,6.5,5.04,72.54,0.0,17.677,160.318,3.75,142.641,0.0,-0.132
2,0,2,0,0.0,7.65,4.28,68.75,0.0,41.461,156.701,3.75,115.24,0.0,-3.617
3,0,3,0,0.0,7.91,4.54,85.88,0.0,48.706,158.414,3.75,109.708,0.0,1.713
4,0,4,0,0.0,7.41,3.37,72.92,0.0,35.268,166.724,3.75,131.456,0.0,8.31
5,0,5,0,0.0,6.83,4.34,75.11,0.0,23.142,179.143,3.75,156.001,0.0,12.419
6,0,6,0,0.0,6.68,5.54,69.4,0.0,20.555,182.714,8.2,162.159,0.0,3.571
7,0,7,0,112.61,6.81,6.34,79.05,56.306,22.807,213.098,8.2,133.985,56.306,30.384
8,0,8,0,266.92,7.05,7.14,64.37,133.458,27.24,237.395,8.2,76.697,77.152,24.297
9,0,9,0,408.35,6.91,8.77,61.07,204.176,24.615,237.916,6.1,9.125,70.718,0.521
10,0,10,0,554.54,6.83,9.74,62.22,277.269,23.147,242.301,6.1,-58.115,73.093,4.385
11,0,11,0,660.62,6.6,12.67,53.33,330.309,19.227,243.839,6.1,-105.697,53.04,1.538
12,0,12,0,693.83,6.37,13.3,44.67,346.916,15.721,222.142,6.1,-140.495,16.607,-21.697
13,0,13,0,690.57,6.56,13.57,47.52,345.286,18.616,201.285,6.1,-162.617,-1.63,-20.857
14,0,14,0,607.08,6.39,14.17,52.91,303.539,15.988,208.866,6.1,-110.661,-41.747,7.581
15,0,15,0,451.09,6.38,13.72,37.59,225.544,15.868,192.324,6.1,-49.088,-77.995,-16.542
16,0,16,0,290.93,7.0,16.14,35.7,145.466,26.334,202.253,6.1,30.453,-80.078,9.929
17,0,17,0,119.29,7.95,14.46,36.71,59.647,50.022,210.126,6.1,100.457,-85.819,7.873
18,0,18,0,0.0,6.91,12.38,45.54,0.0,24.66,237.75,9.5,213.09,-59.647,27.624
19,0,19,0,0.0,6.89,13.14,37.26,0.0,24.246,238.971,9.5,214.725,0.0,1.221
20,0,20,0,0.0,6.5,10.05,43.33,0.0,17.696,223.26,9.5,205.564,0.0,-15.711
21,0,21,0,0.0,6.75,7.48,40.6,0.0,21.668,199.428,9.5,177.76,0.0,-23.832
22,0,22,0,0.0,6.03,8.84,47.9,0.0,11.405,186.484,6.1,175.079,0.0,-12.944
23,0,23,0,0.0,6.15,5.52,57.07,0.0,12.85,176.774,6.1,163.924,0.0,-9.71
24,1,0,1,0.0,5.74,4.47,64.66,0.0,8.419,151.041,3.75,142.622,0.0,-25.733
25,1,1,1,0.0,5.88,4.05,79.76,0.0,9.859,151.092,3.75,141.233,0.0,0.051
26,1,2,1,0.0,5.28,4.77,75.54,0.0,4.853,153.57,3.75,148.717,0.0,2.478
27,1,3,1,0.0,5.32,3.22,68.85,0.0,5.132,161.475,3.75,156.343,0.0,7.905
28,1,4,1,0.0,4.77,1.96,70.63,0.0,2.265,161.677,3.75,159.412,0.0,0.202
29,1,5,1,0.0,4.97,4.66,82.57,0.0,3.142,176.435,3.75,173.293,0.0,14.758
30,1,6,1,0.0,6.0,4.37,79.08,0.0,11.076,180.294,8.2,169.218,0.0,3.859
31,1,7,1,132.11,5.66,8.46,69.31,66.057,7.705,227.171,8.2,153.409,66.057,46.877
32,1,8,1,303.3,5.41,7.65,62.34,151.65,5.761,222.908,8.2,65.497,85.593,-4.263
33,1,9,1,460.37,5.8,6.52,66.93,230.187,9.033,240.615,6.1,1.395,78.537,17.707
34,1,10,1,610.15,6.65,11.18,49.04,305.076,20.085,248.745,6.1,-76.416,74.889,8.13
35,1,11,1,726.62,6.86,14.53,52.18,363.311,23.742,236.159,6.1,-150.894,58.235,-12.586
36,1,12,1,751.6,7.22,15.33,58.64,375.798,30.945,226.851,6.1,-179.892,12.487,-9.308
37,1,13,1,694.06,6.4,16.59,42.09,347.032,16.178,211.272,6.1,-151.938,-28.766,-15.579
38,1,14,1,583.49,6.21,13.77,33.03,291.743,13.567,191.888,6.1,-113.422,-55.289,-19.384
39,1,15,1,458.47,5.91,16.29,38.14,229.235,10.144,198.965,6.1,-40.414,-62.508,7.077
40,1,16,1,298.93,5.22,14.13,32.18,149.465,4.507,188.421,6.1,34.449,-79.77,-10.544
41,1,17,1,128.73,5.79,14.66,27.32,64.367,8.982,228.507,6.1,155.158,-85.098,40.086
42,1,18,1,0.0,6.24,11.91,41.89,0.0,13.944,233.328,9.5,219.384,-64.367,4.821
43,1,19,1,0.0,5.58,11.43,47.56,0.0,7.048,236.695,9.5,229.647,0.0,3.367
44,1,20,1,0.0,6.6,9.94,43.13,0.0,19.235,210.746,9.5,191.511,0.0,-25.949
45,1,21,1,0.0,6.29,10.28,47.56,0.0,14.609,202.021,9.5,187.412,0.0,-8.725
46,1,22,1,0.0,6.54,8.61,49.23,0.0,18.236,199.915,6.1,181.679,0.0,-2.106
47,1,23,1,0.0,6.59,6.53,59.28,0.0,18.996,205.005,6.1,186.009,0.0,5.09
48,2,0,2,0.0,6.84,3.37,61.63,0.0,23.256,158.724,3.75,135.468,0.0,-46.281
49,2,1,2,0.0,6.15,3.66,63.08,0.0,12.803,158.148,3.75,145.345,0.0,-0.576
