hour,net_demand,batt_kw,diesel_kw,grid_import,curtailed_kw,soc_frac,tariff
0.0,59.309999999999995,-39.0,0.0,98.31,0.0,0.546759357352299,3.75
1.0,59.091,-39.0,0.0,98.09100000000001,0.0,0.5935187147045979,3.75
2.0,53.358999999999995,-39.0,0.0,92.359,0.0,0.640278072056897,3.75
3.0,43.666999999999994,-39.0,0.0,82.667,0.0,0.687037429409196,3.75
4.0,70.929,-39.0,0.0,109.929,0.0,0.733796786761495,3.75
5.0,76.061,-39.0,0.0,115.061,0.0,0.7805561441137939,3.75
6.0,97.795,97.795,0.0,0.0,0.0,0.6531082245968463,8.2
7.0,24.288000000000007,24.288000000000007,0.0,0.0,0.0,0.6214557365429824,8.2
8.0,-81.22300000000001,-81.22300000000001,0.0,0.0,0.0,0.7188386924974896,8.2
9.0,-194.949,-130.0,0.0,0.0,64.94900000000001,0.874703217005153,6.1
10.0,-307.262,-62.80185834621294,0.0,0.0,244.46014165378705,0.95,6.1
11.0,-357.01300000000003,-0.0,0.0,0.0,357.01300000000003,0.95,6.1
12.0,-364.59700000000004,-0.0,0.0,0.0,364.59700000000004,0.95,6.1
13.0,-360.598,-0.0,0.0,0.0,360.598,0.95,6.1
14.0,-303.55,-0.0,0.0,0.0,303.55,0.95,6.1
15.0,-215.723,-0.0,0.0,0.0,215.723,0.95,6.1
16.0,-83.606,-0.0,0.0,0.0,83.606,0.95,6.1
17.0,42.395,0.0,0.0,42.395,0.0,0.95,6.1
18.0,149.502,130.0,0.0,19.50200000000001,0.0,0.7805820385786268,9.5
19.0,141.885,130.0,0.0,11.884999999999991,0.0,0.6111640771572536,9.5
20.0,133.617,130.0,0.0,3.6169999999999902,0.0,0.4417461157358804,9.5
21.0,131.976,108.76647842452293,0.0,23.20952157547707,0.0,0.3,9.5
22.0,114.098,0.0,0.0,114.098,0.0,0.3,6.1
23.0,98.86,0.0,0.0,98.86,0.0,0.3,6.1
